origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
KEN,False,True,AUT,False,False,ASY,m,all,None,None,5,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,all,all,None,None,11,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,f,all,None,None,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,m,all,None,None,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,REF,all,all,None,None,26,2020-01-01,2020-12-31
KEN,False,True,BEL,False,False,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
